YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALASKA,"FAIRBANKS NORTH STAR",02,090,81999.05,0.87246,0.98473,33.42,15391.69,0.86584,1.03375,720.08,19995.29,0.84204,0.94497,653.25,11047.74,0.79917,0.94304,6482.58
2024,ALASKA,HAINES,02,100,.,.,.,.,25891.1,1.03179,1.06154,20.83,26595.24,0.75623,0.87887,60.42,14823.21,0.77646,0.98055,367.92
2024,ALASKA,HOONAH-ANGOON,02,105,.,.,.,.,33031.85,1.01613,1.21816,14.75,30960.74,0.72061,0.94713,44.08,15226.15,0.77592,1.01714,233.83
2024,ALASKA,JUNEAU,02,110,117264.63,1.05764,0.97695,11.17,17949.09,0.88052,1.05118,271,26072.66,0.86958,0.98737,356.25,12122.36,0.76599,0.93823,3099.08
2024,ALASKA,"KENAI PENINSULA",02,122,101642.85,0.92606,1.02069,20.67,17368.99,0.87771,1.04985,664.67,24723.69,0.93568,0.95857,831,14851.78,0.82649,0.95093,7047.08
2024,ALASKA,"KETCHIKAN GATEWAY",02,130,*,*,*,*,17428.01,1.12201,1.09448,126.58,24581.22,0.92898,0.9569,200.17,15138.85,0.89114,0.98732,1189.33
2024,ALASKA,"KODIAK ISLAND",02,150,*,*,*,*,16603.04,0.87884,1.04685,91.5,22325.24,0.75041,0.92235,200.83,11720.37,0.75687,0.92382,1003.08
2024,ALASKA,"LAKE AND PENINSULA",02,164,*,*,*,*,*,*,*,*,20630.57,0.63258,0.94156,27.75,10986.6,0.78838,1.10509,55.58
2024,ALASKA,MATANUSKA-SUSITNA,02,170,119277.55,1.00003,1.02321,43,15873.83,0.98127,1.04371,1086.83,20473.52,0.90357,0.9363,1140.42,13013.78,0.83619,0.93843,8003.17
2024,ALASKA,NOME,02,180,*,*,*,*,27691.41,0.73496,1.0681,53.33,42574.15,0.74724,0.92491,167.67,26242.09,0.83627,1.03683,231.5
2024,ALASKA,"NORTH SLOPE",02,185,.,.,.,.,40152.55,1.23946,0.99843,22.5,58918.36,0.73898,0.83436,65.33,39674.98,0.96897,0.94062,218.67
2024,ALASKA,"NORTHWEST ARCTIC",02,188,*,*,*,*,49777.89,1.09909,0.99286,12.83,50774.07,0.86846,0.93059,57.75,30861.86,0.90646,1.04922,75.08
2024,ALASKA,PETERSBURG,02,195,*,*,*,*,26646.7,1.31419,1.08182,40.58,18514.3,0.70331,0.99705,56.42,18434.84,0.75832,0.9811,487.58
2024,ALASKA,"PRINCE OF WALES-HYDER",02,198,*,*,*,*,20022.53,1.00629,1.14605,53.92,21958.78,0.74114,0.9518,100.83,15137.17,0.74567,1.00306,381.08
2024,ALASKA,SITKA,02,220,*,*,*,*,31383.42,0.97377,1.08782,78.33,23381.4,0.88343,0.96262,106.08,17391.72,0.81666,0.95677,1026.92
2024,ALASKA,SKAGWAY,02,230,*,*,*,*,*,*,*,*,*,*,*,*,8903.36,0.7036,0.93383,119.42
2024,ALASKA,"SOUTHEAST FAIRBANKS",02,240,*,*,*,*,8280.36,0.64387,1.07759,59.5,13395.03,0.75869,0.9449,124.08,10745.1,0.7244,0.94294,607
2024,ALASKA,VALDEZ-CORDOVA,02,261,*,*,*,*,21686.55,1.13643,1.09617,57.83,27881.8,0.81826,0.9083,93.58,11777.94,0.73057,0.92654,772.83
